 Lat, Lng,Uuid,Carrier_Code,Stop_Id, Stop_Name,Transit_Modes,Accessible,On_street,Street_direction,Cross_street,Relation_to_Cross_Street,Address,City,State,Zip,Shelter_Present,Seating_Present,Kiosk_Present,Public_Notes,Public_Imagry,Service_Location_Id,Prediction_Count,Dist,Service_Location_Name,Service_Location_UUID
36.794557,-119.709475,,,1801,NW ASHLAN - MINNEWAWA,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.794083,-119.714141,,,1802,NW ASHLAN - VILLA,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794143,-119.717518,,,1803,NE ASHLAN - PEACH,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.7942,-119.722923,,,1804,NW ASHLAN - HELM,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.794259,-119.726793,,,1805,NE ASHLAN - WILLOW,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.794333,-119.732277,,,1806,NW ASHLAN - WINERY,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794344,-119.735616,,,1807,NE ASHLAN - CHESTNUT,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794443,-119.749234,,,1808,NE ASHLAN - BARTON,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794249,-119.758199,,,1810,NW ASHLAN - NINTH,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.79425,-119.763028,,,1811,NE ASHLAN - MILLBROOK,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794187,-119.769433,,,1812,NW ASHLAN - BOND,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.794182,-119.772766,,,1813,NW ASHLAN - FIRST,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.794187,-119.776583,,,1814,NW ASHLAN - ANGUS,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794183,-119.782008,,,1815,NW ASHLAN - FRESNO,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.794202,-119.785463,,,1816,NE ASHLAN - CLARK,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.7942,-119.788817,,,1817,NW ASHLAN - EFFIE,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.779564,-119.794696,,,1819,NE SHIELDS - DEL MAR,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.775666,-119.801164,,,1820,SW WISHON - PRINCETON,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.773802,-119.801165,,,1821,SW WISHON - HARVARD,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.771964,-119.801169,,,1822,SW WISHON - CLINTON,BUS,,,,,,,,CA,,FALSE,TRUE,FALSE,,,,,,,
36.76506,-119.804583,,,1823,NW McKINLEY - ECHO,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.764895,-119.815238,,,1824,NE McKINLEY - ARTHUR,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.815899,-119.808329,,,1847,NE PALM - BARSTOW,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.833026,-119.80822,,,1849,SE PALM - PALO ALTO,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.837377,-119.826765,,,1855,NW HERNDON - WEST,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.837356,-119.835785,,,1856,NW HERNDON - VAN NESS,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.837437,-119.847992,,,1857,NW HERNDON - MARKS,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.837374,-119.853792,,,1858,NW HERNDON - VALENTINE,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.83735,-119.862845,,,1859,NW HERNDON - BRAWLEY,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.837259,-119.871999,,,1860,NW HERNDON - BLYTHE,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.84815,-119.786473,,,1866,EL PASO EB,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.851898,-119.779451,,,1867,SW NEES - ANGUS,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.851904,-119.774074,,,1868,SE NEES - FIRST,BUS,,,,,,,,CA,,TRUE,TRUE,FALSE,,,,,,,
36.852358,-119.765696,,,1869,NE MILLBROOK - NEES,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.85554,-119.765704,,,1870,SE MILLBROOK - PORTLAND,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.862752,-119.765705,,,1872,SE MILLBROOK - COLE,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
36.865202,-119.765708,,,1873,NE MILLBROOK - MONTICELLO,BUS,,,,,,,,CA,,FALSE,FALSE,FALSE,,,,,,,
